"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUEXP","TRY","PC_GDP","A","2018",1.887302,
"AUS","EDUEXP","TRY","PC_GDP","A","2019",1.922114,
"CAN","EDUEXP","TRY","PC_GDP","A","2018",2.326779,
"CAN","EDUEXP","TRY","PC_GDP","A","2019",2.182295,
"FRA","EDUEXP","TRY","PC_GDP","A","2018",1.46805,
"FRA","EDUEXP","TRY","PC_GDP","A","2019",1.478523,
"DEU","EDUEXP","TRY","PC_GDP","A","2018",1.23751,
"DEU","EDUEXP","TRY","PC_GDP","A","2019",1.279297,
"ITA","EDUEXP","TRY","PC_GDP","A","2018",0.9023937,
"ITA","EDUEXP","TRY","PC_GDP","A","2019",0.9047233,
"JPN","EDUEXP","TRY","PC_GDP","A","2018",1.362092,
"JPN","EDUEXP","TRY","PC_GDP","A","2019",1.38074,
"KOR","EDUEXP","TRY","PC_GDP","A","2018",1.565149,
"KOR","EDUEXP","TRY","PC_GDP","A","2019",1.516248,
"MEX","EDUEXP","TRY","PC_GDP","A","2018",1.425752,
"MEX","EDUEXP","TRY","PC_GDP","A","2019",1.385032,
"TUR","EDUEXP","TRY","PC_GDP","A","2018",1.698561,
"TUR","EDUEXP","TRY","PC_GDP","A","2019",1.618887,
"GBR","EDUEXP","TRY","PC_GDP","A","2018",2.000508,
"GBR","EDUEXP","TRY","PC_GDP","A","2019",1.983454,
"USA","EDUEXP","TRY","PC_GDP","A","2018",2.53243,
"USA","EDUEXP","TRY","PC_GDP","A","2019",2.49473,
"RUS","EDUEXP","TRY","PC_GDP","A","2018",0.9988661,
