"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NEET","20_24","PC_AGE","A","2016",11.982759,
"AUS","NEET","20_24","PC_AGE","A","2017",11.547612,
"AUS","NEET","20_24","PC_AGE","A","2018",11.860219,
"AUS","NEET","20_24","PC_AGE","A","2019",11.035892,
"AUS","NEET","20_24","PC_AGE","A","2020",15.876476,
"AUT","NEET","20_24","PC_AGE","A","2016",13.210361,
"AUT","NEET","20_24","PC_AGE","A","2017",11.844285,
"AUT","NEET","20_24","PC_AGE","A","2018",12.456524,
"AUT","NEET","20_24","PC_AGE","A","2019",10.883707,
"AUT","NEET","20_24","PC_AGE","A","2020",13.82,
"BEL","NEET","20_24","PC_AGE","A","2016",14.307859,
"BEL","NEET","20_24","PC_AGE","A","2017",15.199283,
"BEL","NEET","20_24","PC_AGE","A","2018",14.60678,
"BEL","NEET","20_24","PC_AGE","A","2019",15.406888,
"BEL","NEET","20_24","PC_AGE","A","2020",14.038448,
"CAN","NEET","20_24","PC_AGE","A","2016",14.799331,
"CAN","NEET","20_24","PC_AGE","A","2017",13.178947,
"CAN","NEET","20_24","PC_AGE","A","2018",13.406408,
"CAN","NEET","20_24","PC_AGE","A","2019",12.552653,
"CAN","NEET","20_24","PC_AGE","A","2020",14.038699,
"CZE","NEET","20_24","PC_AGE","A","2016",11.339481,
"CZE","NEET","20_24","PC_AGE","A","2017",10.510724,
"CZE","NEET","20_24","PC_AGE","A","2018",8.8197355,
"CZE","NEET","20_24","PC_AGE","A","2019",8.9284897,
"CZE","NEET","20_24","PC_AGE","A","2020",9.584341,
"DNK","NEET","20_24","PC_AGE","A","2016",11.697093,
"DNK","NEET","20_24","PC_AGE","A","2017",15.593633,
"DNK","NEET","20_24","PC_AGE","A","2018",13.482139,
"DNK","NEET","20_24","PC_AGE","A","2019",12.712753,
"DNK","NEET","20_24","PC_AGE","A","2020",13.795696,
"FIN","NEET","20_24","PC_AGE","A","2016",17.391304,
"FIN","NEET","20_24","PC_AGE","A","2017",16.975309,
"FIN","NEET","20_24","PC_AGE","A","2018",14.195583,
"FIN","NEET","20_24","PC_AGE","A","2019",12.903226,
"FIN","NEET","20_24","PC_AGE","A","2020",15.231788,
"FRA","NEET","20_24","PC_AGE","A","2016",21.919884,
"FRA","NEET","20_24","PC_AGE","A","2017",20.74498,
"FRA","NEET","20_24","PC_AGE","A","2018",20.306179,
"FRA","NEET","20_24","PC_AGE","A","2019",19.492943,
"FRA","NEET","20_24","PC_AGE","A","2020",18.991467,
"DEU","NEET","20_24","PC_AGE","A","2016",10.794946,
"DEU","NEET","20_24","PC_AGE","A","2017",10.080937,
"DEU","NEET","20_24","PC_AGE","A","2018",10.387557,
